   Publisher App Market ID,   Publisher App ID,   Publisher App Name,  Publisher Account ID,  Publisher Account Name,Salesforce Monetize Account Region,Salesforce Monetize Account AM  Name,    Report Ad Spend (Unified),    Report    Publisher Revenue,    Report Net Revenue (Unified)
com.badoo.mobile,5ae1d7c5cf3ad762761bbca1,Badoo - Free Chat & Dating App,5aafdd4a0520357fabf54aa6,Badoo,EMEA,Beth Taylor-Lowen,252456.11256306624,160154.530952,92301.58161106624
com.supercell.hayday,52a764b09fd76a3932000008,Hay Day Android,561e8d936b8d90f61a000ade,Supercell,EMEA,Louis Wallworth,245169.0171842165,166291.014,78878.00318421649
free.tube.premium.advanced.tuber,62314e03f09a34c4383095da,Pure Tuber,622f25f89bc0cb0014c6c06f,individual,APAC,Ronald Long,244933.43844917588,138002.998523,106930.4399261759
com.easybrain.art.puzzle,5f33efea7aae9f000162155d,Art Puzzle GP,57d1b461ae2b57d903000027,Easybrain Ltd,EMEA,Benjamin Lyon,244656.11897349966,201160.78765,43495.331323499675
506627515,50046b006d791be34e17e959,Hay Day IOS,561e8d936b8d90f61a000ade,Supercell,EMEA,Louis Wallworth,244367.32587821595,159158.837,85208.48887821594
1521236603,6266b49b6a7efba7e6ccbbe1,Travel Town iOS,561e8d966b8d90f61a0033c4,Moon Active,EMEA,Tori Edwards,240692.45002166263,129987.101037,110705.34898466265
1600525061,638badd694d1fb9053c85621,Locket iOS,638badabfc61bb001443e715,"Locket Labs, Inc",Americas,Alex Moore,232933.59223514114,140228.422718,92705.16951714113
6445905219,6553382acf969be4de4d9be6,DramaBox,65532f6b6cdf5900118d1f51,STORYMATRIX PTE LTD,APAC,Aria Gao,228180.0425652119,152090.60483,76089.43773521189
com.mobilityware.spider,53d7b79466aa901306000019,Android Spider,561e8d936b8d90f61a000455,Mobility Ware,Americas,Natalie Kenyon,222826.33160256533,169158.828451,53667.50315156533
6463127238,6566955ef2be8e652a92b3b8,Hexa Sort,5f064bf93191d60018f0fd5a,Lion Studios,Americas,Matthew Hong,220716.77928880515,137637.861146,83078.91814280517
com.mobilityware.Spades,5ee96179d43e3a0001751cb0,Android Spades,561e8d936b8d90f61a000455,Mobility Ware,Americas,Natalie Kenyon,213850.27575926646,156572.939033,57277.33672626647
com.zynga.words3,5dfae5f6c3936b78cf456b7d,Words With Friends 3 Android,56c3a378adccd1cb7e00000a,Zynga,Americas,Kasey Geist,213295.38937480852,157327.180393,55968.2089818085
com.pixel.art.coloring.color.number,5a777f42d76bfe102f007091,Happy Color Android - Paint by Number,5b1526a7de961d3317b1d475,X-FLOW LTD,EMEA,Kseniia Fesenko,212353.4779870575,147291.504096,65061.97389105751
6748595336,69047083b2b884a38fc2d0dd,seamobi-dev-gmail-com_com-db-speedVPN,6297c4bc012073001b3df035,Yandex Inc.,EMEA,Dumitru Cazacu,211547.99867894914,141279.753593,70268.24508594912
698255242,6276cb2872361e0c07c98cec,Geometry Dash Lite,6276c973f70e7c001895be79,RobTop Games AB,EMEA,Tori Edwards,211380.48613411136,124242.204044,87138.28209011136
grill.sort.food.games.match.puzzle,67d3af22e3373f37dc6370cd,Grill Sort - Food Sort Games,6364b12e3ad6c7001711d812,Fodream Limited,APAC,Harper Zhang,209716.20049099153,159416.918027,50299.28246399152
io.randomco.travel,6267b266886bc70496f956fa,Travel Town Android,561e8d966b8d90f61a0033c4,Moon Active,EMEA,Tori Edwards,208900.59016143112,109450.543785,99450.04637643113
314716233,62a0dc1c93d8b90a44a85847,TextNow iOS,622a3f10c690c40013e4728e,TextNow,Americas,Jack Dove,208716.68016217733,135864.821061,72851.85910117734
6498883328,6642cf9be0cbed6459a1b767,Tile Trip iOS,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,APAC,Aria Gao,201925.67708067058,135180.020725,66745.65635567057
587366035,597b765f20522c9d77000202,PicsArt Photo Studio: Collage Maker & Pic Editor (IOS),59650c95a4e548f217000ead,Picsart Inc,Americas,Matthew Hong,201171.42679651128,112452.340566,88719.08623051128
com.hecate.phantom,6875fcc861fad0cbc88635dd,LOKBOX: Pocket Cinema,6875f522babc2000110fb14e,Chongqing JiguJigu  Network Technol,APAC,Seven Tu,200578.29393317216,128978.117954,71600.17597917217
com.camerasideas.instashot,56163d74f155120c6d0005df,InstaShot Video Editor No Crop,561e8d976b8d90f61a003fcf,InstaShot,APAC,Harper Zhang,200571.33693258767,104629.054405,95942.28252758764
com.miniclip.eightballpool,55a4e36aad6c18e83a000159,8 Ball Pool,561e8d926b8d90f61a00013e,Miniclip SA,EMEA,Louis Wallworth,200400.28647266285,133842.139606,66558.14686666285
com.ecffri.arrows,686eb03d675b99fe079dac34,Arrows Android,6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),EMEA,Dina Eraksan,198797.53885654366,151972.630067,46824.908789543675
com.duolingo,687fc975b7d9308ece480382,Duolingo,68799f38babc2000110fe539,Duolingo,Americas,Alex Moore,198713.85383316272,95775.409688,102938.4441451627
com.easybrain.number.puzzle.game,6049dfc28457e34b9883e80a,Number Match GP,57d1b461ae2b57d903000027,Easybrain Ltd,EMEA,Benjamin Lyon,198305.5811711447,153945.567425,44360.0137461447
6744842285,68833f707f35e9d72122c1a6,seamobi-dev-gmail-com_com-free-vpn-proxy-master,6297c4bc012073001b3df035,Yandex Inc.,EMEA,Dumitru Cazacu,197862.4115366727,131909.093676,65953.3178606727
306310789,5936ce6ff2dd8a5e180008f4,Wattpad_iOS_Interstitial,56b2844d24342c3622000032,Wattpad,Americas,Matthew Hong,197762.7534197165,133317.608229,64445.1451907165
1176027022,6268445fe544d565a3f73230,Toon Blast,56c3a378adccd1cb7e00000a,Zynga,Americas,Kasey Geist,197651.92373153075,156523.678751,41128.24498053077
488575683,66e0363553834547abf558a2,FotMob iOS,66e0182c82571e00117d2acb,FotMob AS,EMEA,Louis Wallworth,197549.15314032204,90302.759336,107246.39380432206
1215933788,59e7db9b598ece421700ded4,Scrabble Go,561e8d966b8d90f61a003414,Scopely,Americas,Natalie Kenyon,197161.50344195217,149682.909465,47478.59397695216
com.gamebrain.hexasort,64f237afb680ca9e9f9856e1,Hexa Sort,5f064bf93191d60018f0fd5a,Lion Studios,Americas,Matthew Hong,193627.9129353361,113087.545674,80540.3672613361
com.ig.screwdom,6765b3b90b2f71906881a1cf,Screwdom_com.ig.screwdom,5ce32f41e15f77001148e36d,Zego Global Ltd,APAC,Nam Trinh,193043.3309130974,125855.844951,67187.48596209742
com.fc.goods.sort.matching.puzzle.triplemaster,660a20c0c5f237ebf7b4ac68,Goods Sorting: Match 3 Puzzle PM_1945,5a57133a3610bbb671016ff3,FALCON GLOBAL LTD.,APAC,Nam Trinh,187822.1438886368,124350.680697,63471.463191636794
1344700142,5b14f1027ea39141340a6ada,UNO!™,5b0fc58f19829714e5ad0d2f,Mattel163 Limited,APAC,Aria Gao,187181.74228539676,120858.437219,66323.30506639676
6744317674,680061dd6e7314c68220322b,Wool Craze,64684dd7d7125400115d9e39,Vicok Limited New,APAC,Aria Gao,184799.44428446027,130992.371548,53807.07273646027
com.pieyel.scrabble,59e7dc15a81a003c1700ebfe,Scrabble Go,561e8d966b8d90f61a003414,Scopely,Americas,Natalie Kenyon,183994.37637354806,133546.373033,50448.00334054805
ai.socialapps.speakmaster,6698be43198409320ce72a78,Poly.AI Android,6698b45b60e2ea00114aa807,Poly.AI Android,APAC,Seven Tu,183539.5354809319,109131.791208,74407.7442729319
com.weather.Weather,685f12acc91f8ce8aec2fd7c,The Weather Channel - Radar,685efaf2892f9d0011d7b87f,The Weather Company,Americas,Alex Moore,182134.62403218518,95294.314255,86840.30977718518
fr.vinted,671654af58450cca797bb25d,Vinted Android,670cfa366f113e00119a799f,Vinted,EMEA,Dumitru Cazacu,181548.3817239336,84862.933377,96685.44834693361
416048305,66f38672cde9700bb6f022ba,美圖秀秀,66f36da16f113e0011999ff8,Meitu China,APAC,Aria Gao,180963.9886744188,91773.534676,89190.45399841882
6748397500,689c4f436dce1f7513be19b9,Arrows – Puzzle Escape,6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),EMEA,Dina Eraksan,180156.44134841548,120100.279304,60056.16204441547
512939461,5e4e66ea60ce6a001791d156,Subway Surfers (Non-COPPA),5c52bd6ffbeb402419bef87d,SYBO Games,EMEA,Louis Wallworth,179668.12671363092,131285.958747,48382.16796663091
1355464544,5fa1e909a1a78e5fc27dc5e0,Tubidy Fm Radio Music Player,561e8d946b8d90f61a002019,Mobiletech Software SRL,EMEA,Hadil Salameh,179244.83604711006,102706.614814,76538.22123311006
com.lenovo.anyshare.gps,64f7008818744ab0e0841919,Shareit Android,5f687c6436ca1e0016d5fd6d,INJOY TECHNOLOGY PTE.LTD.,APAC,Seven Tu,178096.54291442508,106059.126188,72037.41672642507
6448176203,648954542a2e454c7c0aba4e,GoodReels-IOS,63e35991bbe8fa0014380604,Singapore New Reading Technology Pt,APAC,Sunton Sun,173442.3507763016,123695.52378,49746.82699630162
1660171117,641bbdc51e0260737618e232,ZenWord iOS,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,APAC,Aria Gao,172519.86416051054,106463.379685,66056.48447551054
com.offerup,6503642f5551fd9849db7a23,OfferUp Android,650360eb0950ee00114dc484,OfferUp,Americas,Kasey Geist,172514.25594977048,99910.978784,72603.27716577049
com.scores365,6707900e901d39379d5ad723,Android 365Scores: Live Scores & News,67078359be02e20011a686ec,365scores,EMEA,Beth Taylor-Lowen,172215.9100531818,108755.997396,63459.9126571818
571801488,67078f17c81241f35a6237cb,iOS 365Scores: Live Scores & News,67078359be02e20011a686ec,365scores,EMEA,Beth Taylor-Lowen,170977.66760273703,117882.977071,53094.690531737004
com.dramawave.app,67c0237dee9356aafba1ccdb,dramawave-安卓,67c01767cc8ae200116e5d00,Skywork AI PTELTD,APAC,Ronald Long,170532.14127138772,117358.003552,53174.137719387705
1544750895,662687403b493c22d404bf70,Chai iOS,662686e7216c0b00118aef81,Chai Research Corp,Americas,Natalie Kenyon,170216.6763922642,117282.139435,52934.53695726418
569077959,589b92f26beaa884180003d3,Timehop,5898dc668d35674f40000046,Timehop,Americas,Jack Dove,168940.67116438563,113397.680383,55542.99078138561
com.supervpn.vpn.free.proxy,6859240353ef1303f912ce2f,seamobi-dev-gmail-com_com-supervpn-vpn-free-proxy,6297c4bc012073001b3df035,Yandex Inc.,EMEA,Dumitru Cazacu,167675.99308990547,112542.683883,55133.309206905455
351331194,5aafe5c62567717fa575bfc1,Badoo - The Dating App,5aafdd4a0520357fabf54aa6,Badoo,EMEA,Beth Taylor-Lowen,165530.2780628856,107843.88348,57686.39458288561
com.fiogonia.blockjam,6814f77716e6847d6f09c8a5,Shape Escape Android,58737456236d8f446400071c,FIOGONIA LIMITED,EMEA,Louis Wallworth,164890.31500802195,120394.048164,44496.26684402194
com.Beauchamp.Messenger.external,6626876f3b493c22d404bf75,Chai Android,662686e7216c0b00118aef81,Chai Research Corp,Americas,Natalie Kenyon,164465.74821391367,107267.834624,57197.913589913675
1545567989,5fdfae0fc5d4c9ab8efa6701,Number Match IOS,57d1b461ae2b57d903000027,Easybrain Ltd,EMEA,Benjamin Lyon,161993.84795541456,116351.447295,45642.40066041454
com.instabridge.android,5e60cd1f3610f800010eaf6a,Instabridge,58665aa0444a4aeb0d000130,Instabridge Sweden AB,EMEA,Dina Eraksan,161427.53360056193,99862.645632,61564.88796856194
com.microsoft.microsoftsolitairecollection,579ba0736bccbf375f00007a,Microsoft Solitaire Collection Android,579643ec6c081adf5c00004c,Microsoft Casual Games,Americas,Matthew Hong,159733.04802880913,109758.467998,49974.58003080914
com.blockchainvault,65d490ed9a4122e9e0de916d,Android - Pi Network,65d4907595c34900110c9204,Social Chain Inc.,Americas,Jack Dove,158227.99671887804,90446.519104,67781.47761487805
608206510,632cc5c80ca02c6344d51818,Farm Heroes Saga_iOS,622b9915ac4bf1001715b790,Activision Blizzard Media (King),Americas,Kasey Geist,157126.37165583795,109925.638958,47200.73269783793
1369521645,5c1cdefbd71d110017b3f88b,Words Of Wonders - iOS,5bb6123fa4ae3604537ad781,Fugo Games,EMEA,Dina Eraksan,156113.22201876028,91538.060975,64575.161043760265
com.awesome.puzzlehexasort,66eab024f909844620b78871,Hexa Sort,5fc671cbba624b0015a61bf1,Saygames LTD,EMEA,Beth Taylor-Lowen,153625.08035748426,130800.514556,22824.56580148424
1602508478,63dd0e73ff93460cff697297,Word Search Explorer : Fun Game,568b8cb3bb2089a80600000a,Playsimple Games,APAC,Rutvij Jadav,153066.61170851337,105724.364555,47342.24715351338
com.michatapp.im,63807bee031be5e76fb1fec2,MiChat,6376f00f3d02dc001b2940b6,MICHAT PTE. LIMITED,APAC,Harper Zhang,152919.64341381207,132191.773,20727.87041381208
com.easybrain.sudoku.android,59d39cbfef6627a809002d5b,Sudoku - Classic Logic Puzzle Game,57d1b461ae2b57d903000027,Easybrain Ltd,EMEA,Benjamin Lyon,152483.6070592681,122429.245408,30054.361651268115
1557392270,62f47a1d8a0eaaba3f3b6e30,Zen Color  iOS,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,APAC,Aria Gao,151661.7600802965,100940.21625,50721.543830296505
com.flightradar24free,686299fc79819ef02142b9ce,Flightradar24 Flight Tracker,6862932aaff9d800114174ac,Flightradar24 AB,EMEA,Hadil Salameh,150715.29983662814,80355.458852,70359.84098462816
com.easybrain.jigsaw.puzzles,5cb99eb2e520d93f2a43c588,Jigsaw Puzzles Android,57d1b461ae2b57d903000027,Easybrain Ltd,EMEA,Benjamin Lyon,150620.38058510952,124001.62107,26618.75951510953
6743091090,6814ec1fae377462a542071c,Shape Escape iOS,58737456236d8f446400071c,FIOGONIA LIMITED,EMEA,Louis Wallworth,148256.98797593138,102549.701713,45707.28626293139
